"According to the course, before currency, what types of items did people trade to represent value?","People traded goods, tools, cattle, grain, and even shells."
"Early forms of physical currency were made from materials like copper, gold, silver, and _____.",wampum
The transition from physical commodities to paper money was described as waving goodbye to value due to the ability to do what?,Printing unlimited amounts of money.
"The course states that we have entered the digital era of money, where value is represented mostly by what?",Ones and zeros.
"In the described fiat currency system, what does the government create in step one that functions as 'glorified IOUs'?","Bonds, which increase the national debt."
"In step two of the fiat system, who purchases bonds from the Treasury before selling them at a profit to the Federal Reserve?",The banks.
How does the Federal Reserve purchase national debt from banks in the described system?,It writes checks on a checking account that has a zero balance.
"After the Federal Reserve buys bonds, currency springs into existence and is deposited by the _____ into various branches of government.",Treasury
"In step three of the fiat system, what does the government spend the newly created numbers on?","Promises, public works, social programs, and war."
"What is the term for the banking practice of lending out a portion of everyone's deposit, which magnifies the currency supply exponentially?",Fractional reserve lending.
"According to the course, citizens pay taxes to the IRS, who then turns the numbers over to the Treasury for what purpose?",To pay the principal plus interest on the bonds purchased by the Federal Reserve.
The course describes the debt ceiling as a 'delusion' because the system is designed to require what?,Ever-increasing levels of debt.
Who are identified as the 'secret owners' of the Federal Reserve that take a cut from the system?,The world's largest banks.
"The banks that own the Fed profit by selling national debt, earning interest on reserves, and receiving a six percent _____ on their ownership.",dividend
Who is the anonymous identity known for creating Bitcoin?,Satoshi Nakamoto.
What is Bitcoin described as in the course?,Internet money protected by cryptography and a massive amount of computing power.
"In what year was Bitcoin created, immediately following the 2008 housing crisis?",2009.
What was the most important reason ('why') for Bitcoin's creation?,To separate state from finance globally.
Bitcoin was created in the wake of corporate bailouts and _____.,excessive money printing
"The gamified curriculum's Level 1, titled 'Foundation', focuses on fiat mechanics and _____.",Bitcoin origins
"According to the Level 1 gamification plan, a user might complete a fill-in-the-gap quiz: 'The government creates [_____], which are sold to the banks.'",Glorified IOUs
An interactive prompt in Level 1 would teach Bitcoin's philosophy by having the user complete the phrase: 'Bitcoin was created to separate [State] from [_____].',Finance
The Level 1 learning module covers the historic background and the shift from physical items to _____ currency.,digital
"A key concept taught in Level 1 is how the current currency system works, starting with the government creating bonds and putting the public on the hook to _____.",pay it back
What event is cited as the immediate context for the creation of Bitcoin in 2009?,The housing crisis of 2008.
The course states that the fiat system will eventually collapse under its own weight because politicians always do what?,Kick the can down the road.
"In the Level 1 curriculum, what two core topics form the 'Foundation' of crypto knowledge?",Bitcoin fundamentals and the context of the current currency system.
"The course presents a historical progression of money starting with coins, then paper, and now the _____ era.",digital
What is the core criticism leveled against the fiat system's creation of money in the course?,That currency is created 'at the blink of an eye' from nothing of value.
A key fact about Bitcoin presented in the Foundation level is that it was created on the _____.,internet
The gamified app's Level 1 aims to establish the basic knowledge and historic _____ of Bitcoin.,necessity
What is the name of the university Jason Breckenridge graduated from?,Prairie View A&M University.
What subject did Jason Breckenridge study in university?,Electrical Engineering.
"Before founding CryptoBlock, what company did Jason Breckenridge work for as a field service engineer?",Siemens.
Jason Breckenridge founded CryptoBlock in what year to teach people about digital assets?,2017.
"In the 'Foundation' module, a reward for completing a quiz on fiat mechanics could be a _____ check mark.",'Recap Achieved'
"Upon correctly selecting words in an interactive prompt about Bitcoin's philosophy, the user receives a green tick and a _____ screen.",congratulations
What type of progress marker is shown to the user after completing the history module in Level 1?,A personalized progress tracker showing their percentage completion toward mastery.
